Room Temparature,Room Humidity (%),Outside Temp,Outside Humid (%),T.Offset,H.Offset,Set Temperature ,Volt,Amp,Energy,Target,Com_Target,Hum_Target,Volt_Target,Amp_Target
28.225,68.33333333,31.75,78,3.525,9.666666667,24,225.25,0.257,1.4,1.4,29.28653846,69.08653846,225.25,0.257
29.28653846,69.08653846,31.75,78,2.463461538,8.913461538,24,225.25,0.257,1.4,1.4,27.40647482,49.64028777,225.25,0.257
27.40647482,49.64028777,31.75,78,4.34352518,28.35971223,24,225.25,0.257,1.4,1.4,25.99913043,43.52173913,225.25,0.257
25.99913043,43.52173913,31.74913043,78,5.75,34.47826087,24,225.25,0.257,1.4,1.5,25.89711957,50.12228261,225.1008889,0.2605
25.89711957,50.12228261,32.429375,75.09782609,,,24,225.1008889,0.2605,1.5,1.6,25.7951087,56.72282609,224.9517778,0.264
25.7951087,56.72282609,33.10961957,72.19565217,7.31451087,15.47282609,24,224.9517778,0.264,1.6,1.7,27.77288136,62.10169492,224.8026667,0.2675
27.77288136,62.10169492,31.88949153,65.50847458,4.116610169,3.406779661,24,224.8026667,0.2675,1.7,1.8,28.64872727,70.26545455,224.6535556,0.271
28.64872727,70.26545455,31.8,65,3.151272727,-5.265454545,24,224.6535556,0.271,1.8,1.9,29.19862069,71.00689655,224.5044444,0.2745
29.19862069,71.00689655,31.8,65,2.60137931,-6.006896552,24,224.5044444,0.2745,1.9,2,29.5,71,224.3553333,0.278
29.5,71,31.8,65,2.3,-6,24,224.3553333,0.278,2,2.1,29.5919863,71.44760274,224.2062222,0.2815
29.5919863,71.44760274,31.218,67.75616438,,,24,224.2062222,0.2815,2.1,2.2,29.6839726,71.89520548,224.0571111,0.285
29.6839726,71.89520548,30.636,70.51232877,,,24,224.0571111,0.285,2.2,2.3,29.7759589,72.34280822,223.908,0.2885
29.7759589,72.34280822,30.054,73.26849315,,,24,223.908,0.2885,2.3,2.4,29.86794521,72.79041096,223.7588889,0.292
29.86794521,72.79041096,29.472,76.02465753,,,24,223.7588889,0.292,2.4,2.5,29.95993151,73.2380137,223.6097778,0.2955
29.95993151,73.2380137,28.89,78.78082192,,,24,223.6097778,0.2955,2.5,2.6,30.05191781,73.68561644,223.4606667,0.299
30.05191781,73.68561644,28.308,81.5369863,,,24,223.4606667,0.299,2.6,2.7,30.14390411,74.13321918,223.3115556,0.3025
30.14390411,74.13321918,27.726,84.29315068,,,24,223.3115556,0.3025,2.7,2.8,30.23589041,74.58082192,223.1624444,0.306
30.23589041,74.58082192,27.144,87.04931507,,,24,223.1624444,0.306,2.8,2.9,30.32787671,75.02842466,223.0133333,0.3095
30.32787671,75.02842466,26.562,89.80547945,,,24,223.0133333,0.3095,2.9,3,30.41986301,75.4760274,222.8642222,0.313
30.41986301,75.4760274,25.98,92.56164384,-4.439863014,17.08561644,24,222.8642222,0.313,3,3.1,30.45186441,72.93559322,222.7151111,0.3165
30.45186441,72.93559322,29.69118644,89.96610169,-0.760677966,17.03050847,24,222.7151111,0.3165,3.1,3.2,30.25307443,71.60194175,222.566,0.32
30.25307443,71.60194175,32.16841424,84.08737864,1.915339806,12.48543689,24,222.566,0.32,3.2,3.5,28.49722222,61.52777778,222.1685,0.3325
28.49722222,61.52777778,32.52,83,4.022777778,21.47222222,24,222.1685,0.3325,3.5,3.8,28.02006803,69.97959184,221.771,0.345
28.02006803,69.97959184,33.18343537,81.65306122,5.163367347,11.67346939,24,221.771,0.345,3.8,4.1,29.31390728,77.95033113,221.3735,0.3575
29.31390728,77.95033113,34.9884106,77.29470199,5.674503311,-0.655629139,24,221.3735,0.3575,4.1,4.4,29.62739726,72.63356164,220.976,0.37
29.62739726,72.63356164,36.81188356,74,7.184486301,1.366438356,24,220.976,0.37,4.4,4.9,29.46151203,57.64604811,222.1345,0.3975
29.46151203,57.64604811,38.79,74,9.328487973,16.35395189,24,222.1345,0.3975,4.9,5.4,27.80448276,63.10689655,223.293,0.425
27.80448276,63.10689655,38.79,74,10.98551724,10.89310345,24,223.293,0.425,5.4,5.9,27.74307116,65.09737828,224.4515,0.4525
27.74307116,65.09737828,36.36453184,73.31086142,8.621460674,8.213483146,24,224.4515,0.4525,5.9,6.4,28.13745583,68.03886926,225.61,0.48
28.13745583,68.03886926,33.81798587,74,5.680530035,5.961130742,24,225.61,0.48,6.4,6.40625,29.05063694,70.44585987,225.607625,0.471875
29.05063694,70.44585987,33.45,74,4.399363057,3.554140127,24,225.607625,0.471875,6.40625,6.4125,29.44968354,72.86075949,225.60525,0.46375
29.44968354,72.86075949,34.35272152,78.41455696,4.903037975,5.553797468,24,225.60525,0.46375,6.4125,6.41875,29.54056604,73,225.602875,0.455625
29.54056604,73,34.47,79,4.929433962,6,24,225.602875,0.455625,6.41875,6.425,29.64,73,225.6005,0.4475
29.64,73,34.47,79,4.83,6,24,225.6005,0.4475,6.425,6.43125,29.68312538,73.1235474,225.598125,0.439375
29.68312538,73.1235474,34.40991437,78.3911315,,,24,225.598125,0.439375,6.43125,6.4375,29.72625076,73.2470948,225.59575,0.43125
29.72625076,73.2470948,34.34982875,77.782263,,,24,225.59575,0.43125,6.4375,6.44375,29.76937615,73.3706422,225.593375,0.423125
29.76937615,73.3706422,34.28974312,77.1733945,,,24,225.593375,0.423125,6.44375,6.45,29.81250153,73.4941896,225.591,0.415
29.81250153,73.4941896,34.22965749,76.56452599,,,24,225.591,0.415,6.45,6.45625,29.85562691,73.617737,225.588625,0.406875
29.85562691,73.617737,34.16957187,75.95565749,,,24,225.588625,0.406875,6.45625,6.4625,29.89875229,73.7412844,225.58625,0.39875
29.89875229,73.7412844,34.10948624,75.34678899,,,24,225.58625,0.39875,6.4625,6.46875,29.94187768,73.8648318,225.583875,0.390625
29.94187768,73.8648318,34.04940061,74.73792049,,,24,225.583875,0.390625,6.46875,6.475,29.98500306,73.9883792,225.5815,0.3825
29.98500306,73.9883792,33.98931498,74.12905199,,,24,225.5815,0.3825,6.475,6.48125,30.02812844,74.11192661,225.579125,0.374375
30.02812844,74.11192661,33.92922936,73.52018349,,,24,225.579125,0.374375,6.48125,6.4875,30.07125382,74.23547401,225.57675,0.36625
30.07125382,74.23547401,33.86914373,72.91131498,3.797889908,-1.324159021,24,225.57675,0.36625,6.4875,6.49375,30.12215385,74.17230769,225.574375,0.358125
