,actual,predicted
0,0.257,0.24500951
1,0.257,0.24465013
2,0.257,0.2442912
3,0.257,0.24393182
4,0.257,0.24357338
5,0.257,0.24321513
6,0.257,0.24285683
7,0.257,0.24249908
8,0.257,0.24214168
9,0.257,0.24178433
10,0.257,0.24142778
11,0.257,0.24107145
12,0.257,0.24071507
13,0.257,0.24035937
14,0.257,0.24000354
15,0.257,0.23964801
16,0.257,0.23929326
17,0.257,0.23893812
18,0.257,0.23858401
19,0.257,0.23823006
20,0.257,0.23787628
21,0.257,0.23752254
22,0.257,0.23716944
23,0.257,0.23681651
24,0.257,0.23646376
25,0.257,0.23611173
26,0.257,0.23575982
27,0.257,0.23540802
28,0.257,0.23505697
29,0.257,0.23470613
30,0.257,0.2343549
31,0.257,0.23400486
32,0.257,0.23365459
33,0.257,0.23330489
34,0.257,0.23295529
35,0.257,0.23260587
36,0.257,0.23225725
37,0.257,0.23190862
38,0.257,0.23156011
39,0.257,0.23121217
40,0.257,0.23086455
41,0.257,0.23051736
42,0.257,0.23017031
43,0.257,0.22982395
44,0.257,0.22947758
45,0.257,0.22913134
46,0.257,0.22878572
47,0.257,0.22844027
48,0.257,0.22809482
49,0.257,0.22774993
50,0.257,0.22740549
51,0.257,0.22706161
52,0.257,0.2267177
53,0.257,0.22824228
54,0.257,0.23034972
55,0.257,0.23278591
56,0.257,0.23548996
57,0.257,0.23840782
58,0.257,0.24145615
59,0.257,0.24451081
60,0.257,0.24736983
61,0.257,0.24964099
62,0.257,0.25042385
63,0.257,0.25120854
64,0.257,0.25199533
65,0.257,0.25278366
66,0.257,0.2535739
67,0.257,0.25436595
68,0.257,0.25516015
69,0.257,0.25595587
70,0.257,0.25675315
71,0.257,0.25755224
72,0.257,0.2583534
73,0.257,0.25828433
74,0.257,0.25815088
75,0.257,0.25801915
76,0.257,0.25800386
77,0.257,0.25800577
78,0.257,0.25800866
79,0.257,0.25801274
80,0.257,0.25801834
81,0.257,0.25802532
82,0.257,0.2580332
83,0.257,0.2580423
84,0.257,0.2580529
85,0.257,0.25806445
86,0.257,0.25807738
87,0.257,0.25809172
88,0.257,0.25810635
89,0.257,0.25812244
90,0.257,0.25813985
91,0.257,0.2581581
92,0.257,0.2581779
93,0.257,0.25819826
94,0.257,0.25813934
95,0.257,0.2579906
96,0.257,0.25784245
97,0.257,0.25769523
98,0.257,0.25754902
99,0.257,0.25740352
100,0.257,0.2572589
101,0.257,0.2571153
102,0.257,0.25697252
103,0.257,0.2568301
104,0.257,0.25668827
105,0.257,0.25654766
106,0.257,0.2564076
107,0.257,0.25626826
108,0.257,0.2561294
109,0.257,0.25599137
110,0.257,0.2558538
111,0.257,0.2557171
112,0.257,0.25581825
113,0.257,0.25595322
114,0.257,0.25480747
115,0.257,0.25339627
116,0.257,0.25198725
117,0.257,0.25061995
118,0.257,0.24857976
119,0.257,0.24575326
120,0.257,0.24307707
121,0.257,0.2406868
122,0.257,0.23889886
123,0.257,0.23843586
124,0.257,0.23797351
125,0.257,0.23751235
126,0.257,0.23705174
127,0.257,0.23659137
128,0.257,0.23613195
129,0.257,0.23567311
130,0.257,0.23521462
131,0.257,0.23475718
132,0.257,0.23430021
133,0.257,0.23384371
134,0.257,0.23338827
135,0.257,0.23293307
136,0.257,0.23247889
137,0.257,0.23202528
138,0.257,0.23157223
139,0.257,0.23111935
140,0.257,0.23066787
141,0.257,0.23021623
142,0.257,0.22976604
143,0.257,0.2293159
144,0.257,0.2300427
145,0.257,0.23119
146,0.257,0.23233795
147,0.257,0.2334869
148,0.257,0.23463632
149,0.257,0.23578598
150,0.257,0.23693666
151,0.257,0.23808812
152,0.257,0.23923992
153,0.257,0.24039233
154,0.257,0.24154557
155,0.257,0.24269922
156,0.257,0.24385388
157,0.257,0.24500872
158,0.257,0.24624509
159,0.257,0.24755633
160,0.257,0.24886869
161,0.257,0.25018135
162,0.257,0.25149468
163,0.257,0.25280845
164,0.257,0.2541231
165,0.257,0.25543842
166,0.257,0.25675443
167,0.257,0.25807115
168,0.257,0.25938836
169,0.257,0.26070648
170,0.257,0.262025
171,0.257,0.26334417
172,0.257,0.2646641
173,0.257,0.26598486
174,0.25705737704918036,0.2678527
175,0.25711475409836065,0.26787367
176,0.257172131147541,0.2670501
177,0.2572295081967213,0.2659131
178,0.25728688524590165,0.26462168
179,0.25734426229508195,0.26322526
180,0.2574016393442623,0.26174337
181,0.25745901639344265,0.26018608
182,0.25751639344262295,0.25858098
183,0.2575737704918033,0.25702628
184,0.2576311475409836,0.25585285
185,0.25768852459016395,0.25508
186,0.25774590163934424,0.25474772
187,0.2578032786885246,0.2544501
188,0.25786065573770495,0.2541529
189,0.25791803278688524,0.25385466
190,0.2579754098360656,0.25355682
191,0.2580327868852459,0.25325885
192,0.25809016393442624,0.25296023
193,0.25814754098360654,0.25266173
194,0.2582049180327869,0.252322
195,0.25826229508196724,0.25168648
196,0.25831967213114754,0.2510505
197,0.2583770491803279,0.2504142
198,0.2584344262295082,0.24977788
199,0.25849180327868854,0.24914129
200,0.25854918032786883,0.24850498
201,0.2586065573770492,0.24786812
202,0.25866393442622954,0.24723122
203,0.25872131147540983,0.24659388
204,0.2587786885245902,0.24595651
205,0.2588360655737705,0.24531876
206,0.25889344262295083,0.24468091
207,0.2589508196721312,0.24404287
208,0.2590081967213115,0.24340446
209,0.25906557377049183,0.24276578
210,0.2591229508196721,0.24212734
211,0.2591803278688525,0.2414883
212,0.2592377049180328,0.24084897
213,0.2592950819672131,0.24020994
214,0.2593524590163935,0.2395702
215,0.2594098360655738,0.23893066
216,0.2594672131147541,0.23829065
217,0.2595245901639344,0.23765023
218,0.2595819672131148,0.23700969
219,0.25963934426229507,0.23636921
220,0.2596967213114754,0.23572855
221,0.25975409836065577,0.23508713
222,0.25981147540983607,0.23444623
223,0.2598688524590164,0.23380433
224,0.2599262295081967,0.2331627
225,0.25998360655737707,0.23252073
226,0.26004098360655736,0.23187828
227,0.2600983606557377,0.23123598
228,0.26015573770491807,0.2305934
229,0.26021311475409836,0.22995049
230,0.2602704918032787,0.22930741
231,0.260327868852459,0.22866398
232,0.26038524590163936,0.22802038
233,0.26044262295081966,0.22835515
234,0.2605,0.22876081
235,0.26055737704918036,0.22916645
236,0.26061475409836066,0.2295714
237,0.260672131147541,0.22997655
238,0.2607295081967213,0.23038155
239,0.26078688524590166,0.23078604
240,0.26084426229508195,0.23119071
241,0.2609016393442623,0.23159531
242,0.26095901639344266,0.23199916
243,0.26101639344262295,0.23240331
244,0.2610737704918033,0.23280706
245,0.2611311475409836,0.23321068
246,0.26118852459016395,0.23361424
247,0.26124590163934425,0.2340174
248,0.2613032786885246,0.23442057
249,0.26136065573770495,0.2348233
250,0.26141803278688525,0.23522615
251,0.2614754098360656,0.23564729
252,0.2615327868852459,0.236085
253,0.26159016393442625,0.23649594
254,0.26164754098360654,0.23690656
255,0.2617049180327869,0.23731722
256,0.26176229508196724,0.2377276
257,0.26181967213114754,0.238138
258,0.2618770491803279,0.23854768
259,0.2619344262295082,0.2389575
260,0.26199180327868854,0.23936702
261,0.26204918032786884,0.23977639
262,0.2621065573770492,0.24018559
263,0.26216393442622954,0.24059455
264,0.26222131147540984,0.24100319
265,0.2622786885245902,0.2414118
266,0.2623360655737705,0.24181975
267,0.26239344262295083,0.24222802
268,0.2624508196721312,0.24263588
269,0.2625081967213115,0.24304366
270,0.26256557377049183,0.2434513
271,0.26262295081967213,0.24385828
272,0.2626803278688525,0.2442651
273,0.2627377049180328,0.24467193
274,0.26279508196721313,0.24507858
275,0.2628524590163935,0.24548464
276,0.2629098360655738,0.24589086
277,0.26296721311475413,0.24629664
278,0.2630245901639344,0.24670264
279,0.2630819672131148,0.24710783
280,0.26313934426229507,0.24751298
281,0.2631967213114754,0.24791788
282,0.2632540983606558,0.24832259
283,0.26331147540983607,0.24872705
284,0.2633688524590164,0.24913141
285,0.2634262295081967,0.24953525
286,0.26348360655737707,0.24993895
287,0.26354098360655737,0.2503424
288,0.2635983606557377,0.25074574
289,0.26365573770491807,0.2511487
290,0.26371311475409837,0.2515515
291,0.2637704918032787,0.2519032
292,0.263827868852459,0.25183076
293,0.26388524590163936,0.25175816
294,0.26394262295081966,0.25168517
295,0.264,0.25161207
296,0.26405737704918036,0.25153837
297,0.26411475409836066,0.2532352
298,0.264172131147541,0.25541243
299,0.2642295081967213,0.25757197
300,0.26428688524590166,0.25956684
301,0.26434426229508196,0.26138335
