,actual,predicted
0,0.257,0.31099072
1,0.257,0.31065625
2,0.257,0.3103222
3,0.257,0.3099881
4,0.257,0.3096545
5,0.257,0.30932117
6,0.257,0.3089881
7,0.257,0.3086553
8,0.257,0.30832288
9,0.257,0.30799052
10,0.257,0.30765858
11,0.257,0.307327
12,0.257,0.30699557
13,0.257,0.30666447
14,0.257,0.30633366
15,0.257,0.3060031
16,0.257,0.30567288
17,0.257,0.3053429
18,0.257,0.30501324
19,0.257,0.30468383
20,0.257,0.30435473
21,0.257,0.30402592
22,0.257,0.30369735
23,0.257,0.3033691
24,0.257,0.3030411
25,0.257,0.3027135
26,0.257,0.3023862
27,0.257,0.30205908
28,0.257,0.3017323
29,0.257,0.3014058
30,0.257,0.3010797
31,0.257,0.30075374
32,0.257,0.3004282
33,0.257,0.3001029
34,0.257,0.29977787
35,0.257,0.2994531
36,0.257,0.29912868
37,0.257,0.29880464
38,0.257,0.29848087
39,0.257,0.29815727
40,0.257,0.29783407
41,0.257,0.29751122
42,0.257,0.2971886
43,0.257,0.29686636
44,0.257,0.29654434
45,0.257,0.2962227
46,0.257,0.29590124
47,0.257,0.2955802
48,0.257,0.29525936
49,0.257,0.2949389
50,0.257,0.29461882
51,0.257,0.29429895
52,0.257,0.29397947
53,0.257,0.29325518
54,0.257,0.2925706
55,0.257,0.29207218
56,0.257,0.29181427
57,0.257,0.29180047
58,0.257,0.29199952
59,0.257,0.29234615
60,0.257,0.29272792
61,0.257,0.2929624
62,0.257,0.2928213
63,0.257,0.2926797
64,0.257,0.29253766
65,0.257,0.29239503
66,0.257,0.29225188
67,0.257,0.29210815
68,0.257,0.2920514
69,0.257,0.29240394
70,0.257,0.29275402
71,0.257,0.29310164
72,0.257,0.29344654
73,0.257,0.2937889
74,0.257,0.29412863
75,0.257,0.29421273
76,0.257,0.2941303
77,0.257,0.2940432
78,0.257,0.2942248
79,0.257,0.29467493
80,0.257,0.2949563
81,0.257,0.29459158
82,0.257,0.29422033
83,0.257,0.29384255
84,0.257,0.2934579
85,0.257,0.29306662
86,0.257,0.2926684
87,0.257,0.29226336
88,0.257,0.29185125
89,0.257,0.29150307
90,0.257,0.2912961
91,0.257,0.29108465
92,0.257,0.29086858
93,0.257,0.29064795
94,0.257,0.29056957
95,0.257,0.29051495
96,0.257,0.29045603
97,0.257,0.29039294
98,0.257,0.29032537
99,0.257,0.29025346
100,0.257,0.28992423
101,0.257,0.28914744
102,0.257,0.28836426
103,0.257,0.2875749
104,0.257,0.28677914
105,0.257,0.28597686
106,0.257,0.28516814
107,0.257,0.284353
108,0.257,0.28330567
109,0.257,0.28079084
110,0.257,0.27826783
111,0.257,0.27573633
112,0.257,0.27340114
113,0.257,0.2712795
114,0.257,0.2692052
115,0.257,0.26707155
116,0.257,0.26486424
117,0.257,0.26260108
118,0.257,0.26031905
119,0.257,0.25807136
120,0.257,0.2559302
121,0.257,0.25399154
122,0.257,0.25238407
123,0.257,0.25138256
124,0.257,0.25098535
125,0.257,0.2505862
126,0.257,0.2501848
127,0.257,0.24978131
128,0.257,0.24937561
129,0.257,0.2489678
130,0.257,0.24855776
131,0.257,0.24814557
132,0.257,0.2477312
133,0.257,0.24731469
134,0.257,0.24689586
135,0.257,0.24647501
136,0.257,0.24605188
137,0.257,0.24562655
138,0.257,0.24519901
139,0.257,0.24476923
140,0.257,0.24433725
141,0.257,0.24390304
142,0.257,0.24357073
143,0.257,0.24324135
144,0.257,0.24290986
145,0.257,0.24257615
146,0.257,0.2422401
147,0.257,0.24190176
148,0.257,0.24156143
149,0.257,0.24121869
150,0.257,0.24087372
151,0.257,0.24052651
152,0.257,0.240177
153,0.257,0.2398252
154,0.257,0.23947123
155,0.257,0.23911491
156,0.257,0.23875634
157,0.257,0.23839542
158,0.257,0.23737709
159,0.257,0.2359101
160,0.257,0.23444101
161,0.257,0.23296946
162,0.257,0.23149577
163,0.257,0.2300198
164,0.257,0.22854163
165,0.257,0.22728518
166,0.257,0.22632179
167,0.257,0.22535673
168,0.257,0.22438997
169,0.257,0.22342162
170,0.257,0.22245155
171,0.257,0.22147985
172,0.257,0.22050636
173,0.257,0.21953124
174,0.25705737704918036,0.21855445
175,0.25711475409836065,0.21756473
176,0.257172131147541,0.21651766
177,0.2572295081967213,0.21541598
178,0.25728688524590165,0.21428317
179,0.25734426229508195,0.21315658
180,0.2574016393442623,0.21208882
181,0.25745901639344265,0.2111504
182,0.25751639344262295,0.2104377
183,0.2575737704918033,0.21007803
184,0.2576311475409836,0.21021657
185,0.25768852459016395,0.21035537
186,0.25774590163934424,0.2105551
187,0.2578032786885246,0.21095768
188,0.25786065573770495,0.21136035
189,0.25791803278688524,0.211763
190,0.2579754098360656,0.21216564
191,0.2580327868852459,0.21256855
192,0.25809016393442624,0.21297143
193,0.25814754098360654,0.21337448
194,0.2582049180327869,0.21377751
195,0.25826229508196724,0.21418065
196,0.25831967213114754,0.21473673
