,actual,predicted
0,0.257,0.4419132
1,0.257,0.440733
2,0.257,0.4395523
3,0.257,0.438373
4,0.257,0.43719235
5,0.257,0.43601215
6,0.257,0.43483195
7,0.257,0.43365172
8,0.257,0.4324715
9,0.257,0.43129086
10,0.257,0.4301111
11,0.257,0.42893088
12,0.257,0.42775068
13,0.257,0.42657048
14,0.257,0.42538983
15,0.257,0.4242096
16,0.257,0.42302984
17,0.257,0.4218492
18,0.257,0.42066944
19,0.257,0.4194888
20,0.257,0.41830856
21,0.257,0.41712835
22,0.257,0.41594815
23,0.257,0.41476795
24,0.257,0.41358775
25,0.257,0.412408
26,0.257,0.41122776
27,0.257,0.4100471
28,0.257,0.40886736
29,0.257,0.40768716
30,0.257,0.40650648
31,0.257,0.40532628
32,0.257,0.40414608
33,0.257,0.40296587
34,0.257,0.40178564
35,0.257,0.4006059
36,0.257,0.3994257
37,0.257,0.39824504
38,0.257,0.39706528
39,0.257,0.39617005
40,0.257,0.39538217
41,0.257,0.39476284
42,0.257,0.39423007
43,0.257,0.39361888
44,0.257,0.39299095
45,0.257,0.39258865
46,0.257,0.39215598
47,0.257,0.39198652
48,0.257,0.39173916
49,0.257,0.3917849
50,0.257,0.39183202
51,0.257,0.39182433
52,0.257,0.39181527
53,0.257,0.39223343
54,0.257,0.3915566
55,0.257,0.3912929
56,0.257,0.3899967
57,0.257,0.38835847
58,0.257,0.3856868
59,0.257,0.38407892
60,0.257,0.38353297
61,0.257,0.38370332
62,0.257,0.3844382
63,0.257,0.3856791
64,0.257,0.38721767
65,0.257,0.38897008
66,0.257,0.3908471
67,0.257,0.39270237
68,0.257,0.39454493
69,0.257,0.3963866
70,0.257,0.39822873
71,0.257,0.40007174
72,0.257,0.4019134
73,0.257,0.40375555
74,0.257,0.40559766
75,0.257,0.40743977
76,0.257,0.40928236
77,0.257,0.41112447
78,0.257,0.4129666
79,0.257,0.41480917
80,0.257,0.41665128
81,0.257,0.41849342
82,0.257,0.42033553
83,0.257,0.42217812
84,0.257,0.42402023
85,0.257,0.4258619
86,0.257,0.42770493
87,0.257,0.42954704
88,0.257,0.43138918
89,0.257,0.43393263
90,0.257,0.43720958
91,0.257,0.4393403
92,0.257,0.44039682
93,0.257,0.44077057
94,0.257,0.44021195
95,0.257,0.43716878
96,0.257,0.4339308
97,0.257,0.43069327
98,0.257,0.4274553
99,0.257,0.4242182
100,0.257,0.42097977
101,0.257,0.41774225
102,0.257,0.4145047
103,0.257,0.41126627
104,0.257,0.40802875
105,0.257,0.4047903
106,0.257,0.40155324
107,0.257,0.39831525
108,0.257,0.3950768
109,0.257,0.39183974
110,0.257,0.3886013
111,0.257,0.38536423
112,0.257,0.38212624
113,0.257,0.37888825
114,0.257,0.37571144
115,0.257,0.37248522
116,0.257,0.3700587
117,0.257,0.36890838
118,0.257,0.36775896
119,0.257,0.36748487
120,0.257,0.36726785
121,0.257,0.36692035
122,0.257,0.36660776
123,0.257,0.36627838
124,0.257,0.365949
125,0.257,0.36561963
126,0.257,0.36529028
127,0.257,0.36496136
128,0.257,0.36463153
129,0.257,0.36430216
130,0.257,0.36397234
131,0.257,0.36364296
132,0.257,0.3633136
133,0.257,0.3629847
134,0.257,0.3626544
135,0.257,0.3623255
136,0.257,0.36199567
137,0.257,0.36166674
138,0.257,0.36133692
139,0.257,0.36100754
140,0.257,0.36067772
141,0.257,0.3603488
142,0.257,0.36001897
143,0.257,0.3596896
144,0.257,0.3593607
145,0.257,0.35903132
146,0.257,0.3587015
147,0.257,0.35837212
148,0.257,0.3580423
149,0.257,0.35771337
150,0.257,0.35738355
151,0.257,0.35705373
152,0.257,0.35672435
153,0.257,0.35639498
154,0.257,0.35606563
155,0.257,0.3557367
156,0.257,0.35540733
157,0.257,0.3550775
158,0.257,0.35474813
159,0.257,0.3544319
160,0.257,0.35415554
161,0.257,0.35390317
162,0.257,0.3537283
163,0.257,0.35356748
164,0.257,0.35345238
165,0.257,0.3533423
166,0.257,0.35324988
167,0.257,0.35315835
168,0.257,0.35306638
169,0.257,0.35297352
170,0.257,0.35288155
171,0.257,0.35278958
172,0.257,0.35269806
173,0.257,0.3526052
174,0.25705737704918036,0.35251367
175,0.25711475409836065,0.35231748
176,0.257172131147541,0.3526863
177,0.2572295081967213,0.3522201
178,0.25728688524590165,0.35326484
179,0.25734426229508195,0.3534642
180,0.2574016393442623,0.35390544
181,0.25745901639344265,0.3542842
182,0.25751639344262295,0.3548999
183,0.2575737704918033,0.3556044
184,0.2576311475409836,0.35651234
185,0.25768852459016395,0.35742116
186,0.25774590163934424,0.35832953
187,0.2578032786885246,0.3592035
188,0.25786065573770495,0.3600661
189,0.25791803278688524,0.36118695
190,0.2579754098360656,0.3623812
191,0.2580327868852459,0.36367965
192,0.25809016393442624,0.36500168
193,0.25814754098360654,0.36639392
194,0.2582049180327869,0.36780652
195,0.25826229508196724,0.3692196
196,0.25831967213114754,0.37063268
197,0.2583770491803279,0.3720453
198,0.2584344262295082,0.37345886
199,0.25849180327868854,0.3748724
200,0.25854918032786883,0.37628502
201,0.2586065573770492,0.37769762
202,0.25866393442622954,0.37911025
203,0.25872131147540983,0.3805238
204,0.2587786885245902,0.3819364
205,0.2588360655737705,0.38334996
206,0.25889344262295083,0.38476256
207,0.2589508196721312,0.38617566
