,actual,predicted
0,0.257,0.29355204
1,0.257,0.29284248
2,0.257,0.29213333
3,0.257,0.29142347
4,0.257,0.29071414
5,0.257,0.2900046
6,0.257,0.28929552
7,0.257,0.2885863
8,0.257,0.2879297
9,0.257,0.2875205
10,0.257,0.2871111
11,0.257,0.2867019
12,0.257,0.28633502
13,0.257,0.2861266
14,0.257,0.28594667
15,0.257,0.28587374
16,0.257,0.28581753
17,0.257,0.28582415
18,0.257,0.28583938
19,0.257,0.28588977
20,0.257,0.28594038
21,0.257,0.28599098
22,0.257,0.28604174
23,0.257,0.28609252
24,0.257,0.28614345
25,0.257,0.28619415
26,0.257,0.28624493
27,0.257,0.28629634
28,0.257,0.28634727
29,0.257,0.28639796
30,0.257,0.28644964
31,0.257,0.28650022
32,0.257,0.28655177
33,0.257,0.28660306
34,0.257,0.28665435
35,0.257,0.28670573
36,0.257,0.2867573
37,0.257,0.2868087
38,0.257,0.28686026
39,0.257,0.28691235
40,0.257,0.2869638
41,0.257,0.2870157
42,0.257,0.28706717
43,0.257,0.28711933
44,0.257,0.28717098
45,0.257,0.2872232
46,0.257,0.28727508
47,0.257,0.28732735
48,0.257,0.28737953
49,0.257,0.2874313
50,0.257,0.28748375
51,0.257,0.28753603
52,0.257,0.28758815
53,0.257,0.2885236
54,0.257,0.28812572
55,0.257,0.28876635
56,0.257,0.28824472
57,0.257,0.28811666
58,0.257,0.28673458
59,0.257,0.28546652
60,0.257,0.2837657
61,0.257,0.28235942
62,0.257,0.28091118
63,0.257,0.27956197
64,0.257,0.27836907
65,0.257,0.27722824
66,0.257,0.2761682
67,0.257,0.27513406
68,0.257,0.27409485
69,0.257,0.27305073
70,0.257,0.272002
71,0.257,0.27094856
72,0.257,0.26989022
73,0.257,0.2688271
74,0.257,0.26775944
75,0.257,0.26668766
76,0.257,0.2656105
77,0.257,0.26452938
78,0.257,0.2638662
79,0.257,0.26388225
80,0.257,0.2640692
81,0.257,0.2646588
82,0.257,0.26522744
83,0.257,0.2659343
84,0.257,0.26697358
85,0.257,0.26826477
86,0.257,0.26973408
87,0.257,0.2712984
88,0.257,0.27299398
89,0.257,0.27476287
90,0.257,0.276622
91,0.257,0.27853343
92,0.257,0.28040597
93,0.257,0.281887
94,0.257,0.28327364
95,0.257,0.28448373
96,0.257,0.28560993
97,0.257,0.28665388
98,0.257,0.28763667
99,0.257,0.28857726
100,0.257,0.28951195
101,0.257,0.29044074
102,0.257,0.2916113
103,0.257,0.2928288
104,0.257,0.2940407
