,actual,predicted
0,0.257,0.27575845
1,0.257,0.2748286
2,0.257,0.27389804
3,0.257,0.2729671
4,0.257,0.2720354
5,0.257,0.271103
6,0.257,0.27017045
7,0.257,0.26923698
8,0.257,0.26830283
9,0.257,0.26736823
10,0.257,0.2664543
11,0.257,0.26562402
12,0.257,0.26485464
13,0.257,0.26425734
14,0.257,0.26374197
15,0.257,0.26343167
16,0.257,0.26318938
17,0.257,0.26311353
18,0.257,0.2630846
19,0.257,0.26316297
20,0.257,0.26326644
21,0.257,0.26342413
22,0.257,0.26358157
23,0.257,0.26373854
24,0.257,0.26389554
25,0.257,0.26405197
26,0.257,0.2642085
27,0.257,0.26436478
28,0.257,0.26452073
29,0.257,0.26467642
30,0.257,0.26483187
31,0.257,0.26498717
32,0.257,0.26514208
33,0.257,0.26529703
34,0.257,0.2654515
35,0.257,0.26560575
36,0.257,0.26595408
37,0.257,0.2663678
38,0.257,0.2667815
39,0.257,0.26719484
40,0.257,0.26760843
41,0.257,0.2680214
42,0.257,0.2684346
43,0.257,0.2688531
44,0.257,0.26927236
45,0.257,0.26969808
46,0.257,0.27012488
47,0.257,0.2705583
48,0.257,0.2709929
49,0.257,0.2714342
50,0.257,0.27187678
51,0.257,0.272319
52,0.257,0.2727613
53,0.257,0.2729329
54,0.257,0.27143607
55,0.257,0.2707841
56,0.257,0.2691941
57,0.257,0.26865515
58,0.257,0.26730278
59,0.257,0.2670889
60,0.257,0.26624888
61,0.257,0.26643378
62,0.257,0.26670226
63,0.257,0.26695696
64,0.257,0.26708025
65,0.257,0.26717457
66,0.257,0.267551
67,0.257,0.26730284
68,0.257,0.2673183
69,0.257,0.26682022
70,0.257,0.26661387
71,0.257,0.26604444
72,0.257,0.2657152
73,0.257,0.26511878
74,0.257,0.2645298
75,0.257,0.26394776
76,0.257,0.26337335
77,0.257,0.2628061
78,0.257,0.26224595
79,0.257,0.26169315
80,0.257,0.26114753
81,0.257,0.26060948
82,0.257,0.26007852
83,0.257,0.25948408
84,0.257,0.25886896
85,0.257,0.2580426
86,0.257,0.25715736
87,0.257,0.2559178
88,0.257,0.25449628
89,0.257,0.2543084
90,0.257,0.25429267
91,0.257,0.25424695
92,0.257,0.25419804
93,0.257,0.25415832
94,0.257,0.25412795
95,0.257,0.2541066
96,0.257,0.25409427
97,0.257,0.25356603
98,0.257,0.25290987
99,0.257,0.25236708
100,0.257,0.25212917
101,0.257,0.25197372
102,0.257,0.25202653
103,0.257,0.25214574
104,0.257,0.25238222
105,0.257,0.25261948
106,0.257,0.25291798
107,0.257,0.25323096
108,0.257,0.2535584
109,0.257,0.25390038
110,0.257,0.2542569
111,0.257,0.25465116
112,0.257,0.25517032
113,0.257,0.25570816
114,0.257,0.25708315
115,0.257,0.25843954
116,0.257,0.25984496
117,0.257,0.26136997
118,0.257,0.26285687
119,0.257,0.2642788
120,0.257,0.26525092
