,actual,predicted
0,0.257,0.33121938
1,0.257,0.33086562
2,0.257,0.3305118
3,0.257,0.33015785
4,0.257,0.32980353
5,0.257,0.32944906
6,0.257,0.3290945
7,0.257,0.32873973
8,0.257,0.32838467
9,0.257,0.32802954
10,0.257,0.32767424
11,0.257,0.3273186
12,0.257,0.32696286
13,0.257,0.32660693
14,0.257,0.3262509
15,0.257,0.32589453
16,0.257,0.32553804
17,0.257,0.32518128
18,0.257,0.32482442
19,0.257,0.32446736
20,0.257,0.32411
21,0.257,0.32375264
22,0.257,0.32339504
23,0.257,0.3230371
24,0.257,0.32267913
25,0.257,0.3223208
26,0.257,0.32196236
27,0.257,0.32160378
28,0.257,0.32124487
29,0.257,0.32088584
30,0.257,0.32052666
31,0.257,0.32016718
32,0.257,0.3198076
33,0.257,0.31944776
34,0.257,0.31908765
35,0.257,0.31872752
36,0.257,0.31836712
37,0.257,0.31800646
38,0.257,0.3176456
39,0.257,0.3172846
40,0.257,0.31692338
41,0.257,0.316562
42,0.257,0.31620038
43,0.257,0.31583858
44,0.257,0.3154765
45,0.257,0.31511432
46,0.257,0.31475195
47,0.257,0.3143893
48,0.257,0.3140264
49,0.257,0.31366342
50,0.257,0.3133002
51,0.257,0.31293675
52,0.257,0.31257308
53,0.257,0.31220207
54,0.257,0.3117692
55,0.257,0.31122383
56,0.257,0.31066725
57,0.257,0.31011733
58,0.257,0.3095449
59,0.257,0.3088891
60,0.257,0.30819607
61,0.257,0.30761388
62,0.257,0.30711055
63,0.257,0.3066015
64,0.257,0.3060868
65,0.257,0.3055665
66,0.257,0.30504054
67,0.257,0.30450886
68,0.257,0.30397162
69,0.257,0.30342862
70,0.257,0.30288
71,0.257,0.30232555
72,0.257,0.3017655
73,0.257,0.3011997
74,0.257,0.3006282
75,0.257,0.30005094
76,0.257,0.29946795
77,0.257,0.29887933
78,0.257,0.29828486
79,0.257,0.29768476
80,0.257,0.29707885
81,0.257,0.29646713
82,0.257,0.29584968
83,0.257,0.29522657
84,0.257,0.2945977
85,0.257,0.29396307
86,0.257,0.29332256
87,0.257,0.2926764
88,0.257,0.29202443
89,0.257,0.2913668
90,0.257,0.29070333
91,0.257,0.2900341
92,0.257,0.28935915
93,0.257,0.2886784
94,0.257,0.287992
95,0.257,0.28729975
96,0.257,0.28660187
97,0.257,0.28589824
98,0.257,0.28518888
99,0.257,0.28447384
100,0.257,0.28375298
