,actual,predicted
0,0.257,0.30071142
1,0.257,0.3003251
2,0.257,0.29993767
3,0.257,0.299549
4,0.257,0.29915914
5,0.257,0.2987681
6,0.257,0.29837602
7,0.257,0.29798257
8,0.257,0.29758802
9,0.257,0.2971924
10,0.257,0.29679552
11,0.257,0.2963975
12,0.257,0.2959983
13,0.257,0.29559785
14,0.257,0.29519626
15,0.257,0.29479364
16,0.257,0.29438978
17,0.257,0.2939846
18,0.257,0.29357842
19,0.257,0.29317102
20,0.257,0.2927624
21,0.257,0.29235277
22,0.257,0.29194176
23,0.257,0.29152986
24,0.257,0.29111657
25,0.257,0.29070207
26,0.257,0.2902865
27,0.257,0.28986976
28,0.257,0.28945187
29,0.257,0.28903285
30,0.257,0.28861266
31,0.257,0.2881913
32,0.257,0.28776872
33,0.257,0.28734496
34,0.257,0.28692016
35,0.257,0.28649417
36,0.257,0.28606698
37,0.257,0.28563863
38,0.257,0.28520912
39,0.257,0.28477854
40,0.257,0.28434673
41,0.257,0.28391367
42,0.257,0.2834796
43,0.257,0.28304428
44,0.257,0.28260785
45,0.257,0.28217027
46,0.257,0.2817315
47,0.257,0.28129154
48,0.257,0.2808505
49,0.257,0.2804083
50,0.257,0.27996486
51,0.257,0.27952036
52,0.257,0.27907473
53,0.257,0.27852055
54,0.257,0.27788946
55,0.257,0.27722955
56,0.257,0.2767509
57,0.257,0.27640572
58,0.257,0.27614895
59,0.257,0.2758886
60,0.257,0.2758527
61,0.257,0.27597478
62,0.257,0.2765199
63,0.257,0.27705336
64,0.257,0.27757514
65,0.257,0.27808508
66,0.257,0.27858314
67,0.257,0.27906936
68,0.257,0.27954367
69,0.257,0.2800059
70,0.257,0.2804562
71,0.257,0.28089455
72,0.257,0.2813207
73,0.257,0.28173473
74,0.257,0.2821368
75,0.257,0.28252643
76,0.257,0.2829041
77,0.257,0.28326932
78,0.257,0.28362226
79,0.257,0.28396302
80,0.257,0.28429133
81,0.257,0.28460735
82,0.257,0.2849109
83,0.257,0.285202
84,0.257,0.28548065
85,0.257,0.28574678
86,0.257,0.28600046
87,0.257,0.28624165
88,0.257,0.2864701
89,0.257,0.2866861
90,0.257,0.28688946
91,0.257,0.28708023
92,0.257,0.2872583
93,0.257,0.28742373
94,0.257,0.2875764
95,0.257,0.2877164
96,0.257,0.28784364
97,0.257,0.28795815
98,0.257,0.28805992
99,0.257,0.28814894
100,0.257,0.28822523
101,0.257,0.28828862
102,0.257,0.2883394
103,0.257,0.28837723
104,0.257,0.28840226
105,0.257,0.2884145
106,0.257,0.288414
107,0.257,0.28840062
108,0.257,0.28837427
109,0.257,0.28833526
110,0.257,0.2882834
111,0.257,0.2882187
112,0.257,0.28814107
113,0.257,0.2880508
114,0.257,0.2879546
115,0.257,0.2878608
116,0.257,0.28777608
117,0.257,0.28769606
118,0.257,0.28762007
119,0.257,0.28755617
