,actual,predicted
0,0.257,0.27373207
1,0.257,0.27350542
2,0.257,0.27327973
3,0.257,0.27305466
4,0.257,0.27283046
5,0.257,0.27260703
6,0.257,0.27238435
7,0.257,0.2721625
8,0.257,0.27194133
9,0.257,0.271721
10,0.257,0.27150145
11,0.257,0.2712827
12,0.257,0.27110356
13,0.257,0.2709736
14,0.257,0.27084458
15,0.257,0.27071643
16,0.257,0.27058923
17,0.257,0.27046284
18,0.257,0.27033737
19,0.257,0.27021286
20,0.257,0.27008918
21,0.257,0.2699665
22,0.257,0.26984456
23,0.257,0.26972368
24,0.257,0.26960352
25,0.257,0.26948437
26,0.257,0.26936606
27,0.257,0.26926875
28,0.257,0.2692271
29,0.257,0.26918668
30,0.257,0.26914725
31,0.257,0.2691087
32,0.257,0.26907098
33,0.257,0.26903415
34,0.257,0.26899818
35,0.257,0.26896313
36,0.257,0.26892886
37,0.257,0.26889557
38,0.257,0.26886305
39,0.257,0.26883146
40,0.257,0.2688007
41,0.257,0.26877087
42,0.257,0.2687418
43,0.257,0.2687137
44,0.257,0.26868647
45,0.257,0.26866007
46,0.257,0.26869643
47,0.257,0.26887983
48,0.257,0.2690638
49,0.257,0.26924816
50,0.257,0.26943287
51,0.257,0.2696181
52,0.257,0.26980373
53,0.257,0.26908985
54,0.257,0.26816285
55,0.257,0.26714045
56,0.257,0.26609904
57,0.257,0.26559204
58,0.257,0.26504648
59,0.257,0.26444003
60,0.257,0.26410553
61,0.257,0.26394922
62,0.257,0.2637428
63,0.257,0.26354104
64,0.257,0.26334384
65,0.257,0.26315126
66,0.257,0.26308173
67,0.257,0.2630667
68,0.257,0.26305687
69,0.257,0.26305252
70,0.257,0.2630535
71,0.257,0.26306003
72,0.257,0.26300973
73,0.257,0.2629581
74,0.257,0.2629124
75,0.257,0.26287255
76,0.257,0.26283875
77,0.257,0.26233703
78,0.257,0.2617856
79,0.257,0.26123673
80,0.257,0.26069042
81,0.257,0.26014683
82,0.257,0.2596058
83,0.257,0.25906745
84,0.257,0.2585317
85,0.257,0.25799876
86,0.257,0.25746855
87,0.257,0.2569412
88,0.257,0.25641647
89,0.257,0.25589472
90,0.257,0.25537577
91,0.257,0.25485978
92,0.257,0.25434664
93,0.257,0.25383645
94,0.257,0.25332928
95,0.257,0.25282505
96,0.257,0.252324
97,0.257,0.25182584
98,0.257,0.2513309
99,0.257,0.25066102
100,0.257,0.24996068
101,0.257,0.24952424
102,0.257,0.24908987
103,0.257,0.24865745
104,0.257,0.24822725
105,0.257,0.24791719
106,0.257,0.2477313
107,0.257,0.24736814
108,0.257,0.24700749
109,0.257,0.24664909
110,0.257,0.24629308
111,0.257,0.24593946
112,0.257,0.24558832
113,0.257,0.24523975
114,0.257,0.245086
115,0.257,0.24487983
116,0.257,0.24429439
117,0.257,0.24364752
118,0.257,0.2434909
119,0.257,0.24345112
120,0.257,0.24346146
121,0.257,0.2435276
122,0.257,0.24364726
123,0.257,0.24381453
124,0.257,0.24398239
125,0.257,0.24415073
126,0.257,0.24431963
127,0.257,0.2444891
128,0.257,0.24465919
129,0.257,0.24482438
130,0.257,0.24496749
131,0.257,0.24511069
132,0.257,0.24525371
133,0.257,0.24539685
134,0.257,0.24553984
135,0.257,0.2456829
136,0.257,0.24582595
137,0.257,0.2459688
138,0.257,0.24611174
139,0.257,0.24625479
140,0.257,0.24639757
141,0.257,0.24654047
142,0.257,0.24668333
143,0.257,0.24682607
144,0.257,0.24696884
145,0.257,0.2471116
146,0.257,0.24700318
147,0.257,0.24681921
148,0.257,0.2466348
149,0.257,0.24644992
150,0.257,0.24626456
151,0.257,0.2460789
152,0.257,0.24589275
153,0.257,0.24570611
154,0.257,0.24551912
155,0.257,0.24533162
156,0.257,0.24514368
157,0.257,0.24495532
158,0.257,0.24476656
159,0.257,0.2445773
160,0.257,0.24438764
161,0.257,0.24419747
162,0.257,0.2440119
163,0.257,0.2438324
164,0.257,0.24365245
165,0.257,0.24347197
166,0.257,0.24329102
167,0.257,0.24310972
168,0.257,0.2429279
169,0.257,0.24274568
170,0.257,0.24256288
171,0.257,0.2423797
172,0.257,0.24219607
173,0.257,0.24201196
174,0.25705737704918036,0.24182726
175,0.25711475409836065,0.241811
176,0.257172131147541,0.24179365
177,0.2572295081967213,0.24174945
178,0.25728688524590165,0.24170703
179,0.25734426229508195,0.2417008
180,0.2574016393442623,0.24175392
181,0.25745901639344265,0.24187641
182,0.25751639344262295,0.24206802
183,0.2575737704918033,0.24232239
184,0.2576311475409836,0.24263044
185,0.25768852459016395,0.24293981
186,0.25774590163934424,0.24299903
187,0.2578032786885246,0.2430375
188,0.25786065573770495,0.24307755
189,0.25791803278688524,0.24311906
190,0.2579754098360656,0.24316193
191,0.2580327868852459,0.24320647
192,0.25809016393442624,0.2432523
193,0.25814754098360654,0.24329983
194,0.2582049180327869,0.24334882
195,0.25826229508196724,0.24339913
196,0.25831967213114754,0.24345106
197,0.2583770491803279,0.24350446
198,0.2584344262295082,0.24355935
199,0.25849180327868854,0.24361575
200,0.25854918032786883,0.24367368
201,0.2586065573770492,0.2437331
202,0.25866393442622954,0.24379393
203,0.25872131147540983,0.24385633
204,0.2587786885245902,0.2439202
205,0.2588360655737705,0.24398561
206,0.25889344262295083,0.24405253
207,0.2589508196721312,0.24412094
208,0.2590081967213115,0.24419081
209,0.25906557377049183,0.24426223
210,0.2591229508196721,0.24433514
211,0.2591803278688525,0.24440962
212,0.2592377049180328,0.24448559
213,0.2592950819672131,0.24456312
214,0.2593524590163935,0.24464206
215,0.2594098360655738,0.24472259
216,0.2594672131147541,0.24480465
217,0.2595245901639344,0.24488819
218,0.2595819672131148,0.24497324
219,0.25963934426229507,0.24505983
220,0.2596967213114754,0.24514796
221,0.25975409836065577,0.24523754
222,0.25981147540983607,0.24532872
223,0.2598688524590164,0.24542142
224,0.2599262295081967,0.2455156
225,0.25998360655737707,0.24561134
226,0.26004098360655736,0.24570861
227,0.2600983606557377,0.24580742
228,0.26015573770491807,0.24590772
229,0.26021311475409836,0.24600963
230,0.2602704918032787,0.24611305
231,0.260327868852459,0.24621801
232,0.26038524590163936,0.24632451
233,0.26044262295081966,0.24643256
234,0.2605,0.24654208
235,0.26055737704918036,0.24665317
236,0.26061475409836066,0.2467658
237,0.260672131147541,0.24688007
238,0.2607295081967213,0.24699576
239,0.26078688524590166,0.24711302
240,0.26084426229508195,0.24723189
241,0.2609016393442623,0.24735232
242,0.26095901639344266,0.24747425
243,0.26101639344262295,0.24759777
244,0.2610737704918033,0.24772286
245,0.2611311475409836,0.24784938
246,0.26118852459016395,0.24797761
